Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
32,non-binary,99813,high school,4,skiing,637,rural,250,22,spring,1,1,0
36,male,82763,high school,4,swimming,2148,urban,53,217,summer,0,0,0
65,non-binary,110659,doctorate,2,skiing,1963,suburban,22,100,summer,0,0,1
63,non-binary,88616,doctorate,2,sunbathing,2151,suburban,2,73,summer,1,0,0
45,female,96934,doctorate,8,skiing,4975,rural,222,104,spring,0,0,0
24,non-binary,34878,master,9,sunbathing,4022,suburban,51,204,summer,1,0,0
57,male,110421,master,2,hiking,579,rural,65,73,summer,0,1,1
24,non-binary,29411,high school,0,swimming,1754,suburban,206,156,summer,0,1,0
47,non-binary,72549,bachelor,8,swimming,3951,urban,152,138,fall,1,1,0
35,male,52458,doctorate,0,swimming,2265,suburban,216,272,summer,0,1,0
41,male,80007,high school,4,sunbathing,4980,urban,104,54,spring,1,0,0
23,non-binary,22764,bachelor,1,sunbathing,4529,urban,58,68,summer,1,0,0
68,female,103272,high school,1,skiing,4050,urban,31,137,summer,1,0,1
21,male,89170,master,3,sunbathing,2770,suburban,271,108,spring,1,1,0
20,male,45981,master,5,swimming,4932,suburban,223,27,summer,1,1,0
66,female,58545,doctorate,2,sunbathing,4952,rural,277,7,spring,0,1,0
68,male,60406,high school,9,skiing,4133,urban,164,65,summer,1,1,0
64,male,52470,doctorate,3,swimming,4831,suburban,154,248,fall,1,0,0
23,female,47698,bachelor,6,swimming,893,rural,235,213,fall,1,1,0
43,non-binary,95965,bachelor,6,skiing,4241,suburban,252,109,spring,1,1,0
61,female,107428,doctorate,2,swimming,3705,rural,74,272,spring,1,0,0
68,non-binary,64169,master,0,hiking,1313,urban,242,224,winter,0,0,0
55,male,111566,master,1,hiking,4356,rural,148,78,fall,0,0,0
28,male,92743,doctorate,8,hiking,604,suburban,87,92,spring,0,0,1
69,non-binary,81138,master,7,skiing,2397,rural,85,122,spring,0,1,1
46,female,57646,master,3,sunbathing,2156,urban,67,132,fall,0,1,0
37,male,71602,high school,5,sunbathing,4220,suburban,191,108,fall,0,0,0
27,female,99683,high school,5,skiing,4893,suburban,125,202,winter,1,1,1
43,non-binary,54658,master,2,swimming,1176,rural,109,118,summer,0,0,0
65,non-binary,85700,bachelor,6,skiing,4317,urban,65,11,spring,0,0,0
44,non-binary,117054,bachelor,1,skiing,4029,urban,24,278,winter,1,1,1
67,female,103791,high school,7,swimming,814,urban,251,31,winter,0,1,0
31,female,43487,doctorate,5,swimming,2606,suburban,74,179,winter,0,0,0
53,non-binary,102260,doctorate,1,skiing,1313,suburban,114,267,fall,1,1,1
29,male,115414,doctorate,4,hiking,976,urban,116,64,fall,0,0,0
69,non-binary,62323,master,1,sunbathing,4198,rural,33,261,summer,1,1,0
40,male,38235,master,1,swimming,3679,suburban,237,216,summer,0,1,0
38,male,59089,doctorate,2,hiking,591,rural,198,206,winter,0,1,1
25,male,115556,doctorate,6,skiing,1607,rural,71,289,winter,0,1,1
56,female,81063,master,9,skiing,2609,urban,119,284,winter,0,0,1
26,male,35111,bachelor,7,skiing,3484,suburban,218,38,winter,0,0,0
41,male,26688,bachelor,4,skiing,2800,urban,245,160,spring,1,1,0
48,non-binary,68090,master,1,skiing,2076,urban,22,35,winter,1,1,1
42,male,65085,master,7,swimming,3014,urban,252,104,fall,1,0,0
34,male,71687,bachelor,0,skiing,509,suburban,57,195,winter,0,1,1
59,non-binary,105746,doctorate,1,skiing,1497,suburban,174,172,winter,0,0,0
46,female,103665,master,6,hiking,2503,rural,115,238,winter,0,0,1
20,male,43034,high school,8,sunbathing,3834,suburban,48,238,summer,1,1,0
38,female,87705,high school,6,swimming,4801,suburban,148,292,summer,1,0,0
25,non-binary,102803,master,6,skiing,3759,suburban,133,296,fall,1,0,1
31,female,66247,bachelor,9,sunbathing,2592,rural,121,136,fall,0,0,0
56,male,36356,high school,6,swimming,1106,rural,255,57,winter,1,1,0
33,female,24778,bachelor,6,sunbathing,4353,suburban,186,121,fall,0,0,0
35,female,68182,bachelor,5,skiing,789,rural,249,279,spring,1,1,1
48,non-binary,22535,doctorate,1,sunbathing,1826,urban,167,91,spring,0,1,0
28,non-binary,46034,master,9,swimming,1388,rural,135,121,winter,0,1,0
55,non-binary,66166,bachelor,6,hiking,1603,urban,83,213,summer,0,0,1
37,non-binary,20630,bachelor,3,hiking,2809,urban,296,6,spring,0,0,0
63,non-binary,93720,high school,9,skiing,3547,suburban,254,292,summer,1,1,1
62,non-binary,57778,doctorate,3,hiking,2035,rural,284,245,spring,1,1,0
21,non-binary,33334,bachelor,6,hiking,3495,suburban,174,290,winter,1,1,1
37,non-binary,39261,master,7,skiing,3942,suburban,110,115,winter,1,0,1
48,female,53192,bachelor,2,hiking,4882,urban,97,98,spring,1,1,1
37,non-binary,55070,master,9,hiking,4631,urban,248,255,fall,1,1,1
28,female,46507,high school,9,swimming,2689,urban,185,89,summer,0,0,0
67,male,83203,bachelor,1,hiking,1821,urban,230,83,fall,1,0,0
18,non-binary,75427,bachelor,4,sunbathing,888,suburban,298,244,summer,1,0,0
61,male,55851,bachelor,4,skiing,3526,urban,293,106,fall,1,0,0
35,non-binary,69165,high school,9,swimming,1016,suburban,33,159,winter,1,1,0
56,male,72239,bachelor,5,swimming,3244,rural,181,71,spring,1,1,0
61,female,23060,high school,2,sunbathing,1696,rural,85,98,winter,1,1,0
50,non-binary,53884,bachelor,0,hiking,799,suburban,232,167,summer,1,0,0
53,female,114073,high school,2,swimming,1577,suburban,139,218,winter,0,1,0
35,male,54187,master,4,skiing,1064,suburban,242,93,winter,1,0,0
64,female,49467,high school,1,skiing,4548,suburban,221,199,summer,0,0,0
48,non-binary,27943,doctorate,5,sunbathing,3859,rural,233,39,summer,1,1,0
52,female,101247,high school,4,hiking,3522,suburban,48,294,winter,0,1,1
56,female,21624,master,0,hiking,4597,suburban,243,71,summer,0,0,0
55,male,34411,master,9,skiing,4293,rural,259,221,fall,0,1,0
32,male,35035,doctorate,2,hiking,2630,urban,133,174,spring,0,0,1
64,non-binary,21157,master,0,skiing,2170,urban,89,146,spring,0,0,1
23,male,75292,high school,1,skiing,2263,rural,164,266,fall,0,1,1
25,female,29210,doctorate,7,skiing,959,rural,159,167,summer,0,0,1
57,male,86056,high school,9,swimming,3428,urban,130,17,fall,0,0,0
39,non-binary,39763,master,6,hiking,1524,suburban,117,251,winter,1,0,1
18,male,22520,bachelor,4,swimming,4076,rural,73,217,winter,1,0,0
30,non-binary,89429,doctorate,8,sunbathing,1688,suburban,282,37,spring,1,0,0
41,non-binary,101619,high school,7,swimming,4972,urban,182,89,fall,1,0,0
38,female,71173,high school,5,swimming,2871,suburban,204,235,fall,0,1,0
62,female,57966,high school,5,sunbathing,2906,urban,117,214,spring,1,0,0
60,female,56661,doctorate,0,sunbathing,903,suburban,211,12,spring,0,0,0
21,non-binary,58297,doctorate,2,sunbathing,668,urban,171,173,fall,1,1,0
24,male,61828,doctorate,1,skiing,2606,suburban,171,277,fall,0,0,1
29,male,55824,bachelor,8,skiing,4371,rural,58,125,fall,1,0,1
30,non-binary,26666,doctorate,0,skiing,1617,rural,192,91,fall,1,0,0
61,non-binary,107102,doctorate,6,sunbathing,1996,rural,33,196,fall,1,0,0
33,male,110522,doctorate,4,sunbathing,3346,rural,257,266,summer,0,1,0
23,male,42566,bachelor,1,swimming,4282,urban,212,171,winter,1,0,0
31,non-binary,61748,high school,1,hiking,2221,suburban,152,159,winter,0,0,1
68,male,85140,doctorate,5,sunbathing,545,urban,151,190,fall,1,0,0
65,male,96677,bachelor,6,skiing,1927,suburban,144,164,winter,0,1,1
48,non-binary,84650,bachelor,1,sunbathing,3316,suburban,135,175,winter,0,0,0
53,non-binary,90445,high school,8,hiking,1951,suburban,219,188,winter,1,0,0
54,female,21438,bachelor,5,swimming,957,rural,215,7,winter,1,1,0
58,female,99799,master,7,skiing,3204,suburban,126,58,winter,0,1,0
52,male,40042,high school,3,sunbathing,2607,suburban,19,10,winter,1,0,0
27,non-binary,38028,high school,5,skiing,4718,suburban,64,227,spring,1,0,1
34,male,77426,bachelor,1,sunbathing,3386,urban,119,250,summer,1,1,0
68,non-binary,57081,bachelor,2,skiing,1039,suburban,121,80,winter,0,0,0
59,male,47373,doctorate,6,sunbathing,3901,urban,196,74,summer,0,0,0
47,male,67076,doctorate,4,skiing,2711,urban,40,193,winter,1,0,1
61,non-binary,115402,high school,2,swimming,995,rural,68,98,spring,1,1,0
24,female,55700,doctorate,8,skiing,1666,rural,15,150,spring,0,1,1
35,female,96334,master,9,swimming,4065,rural,207,274,summer,0,1,0
36,non-binary,47919,master,9,skiing,1775,urban,271,282,spring,1,1,1
32,male,80128,bachelor,1,sunbathing,1121,rural,149,22,fall,0,0,0
56,male,103106,master,1,hiking,4991,rural,108,30,spring,1,0,0
61,male,119081,master,3,skiing,728,rural,81,110,spring,0,1,1
39,non-binary,30467,master,5,sunbathing,4024,rural,289,67,fall,1,1,0
56,female,92022,high school,2,sunbathing,4004,rural,14,99,fall,1,1,0
59,non-binary,69974,master,6,sunbathing,1449,urban,27,74,winter,0,0,0
47,female,54940,master,1,swimming,3261,suburban,5,73,summer,0,1,0
37,female,55119,bachelor,8,hiking,4590,rural,258,121,spring,0,0,0
49,non-binary,78627,doctorate,9,swimming,3140,rural,170,43,winter,0,1,0
59,female,90418,doctorate,1,swimming,3844,urban,58,102,summer,1,0,0
42,female,70235,master,0,swimming,3089,suburban,223,251,winter,0,1,0
40,female,22514,doctorate,0,swimming,3300,suburban,192,159,winter,1,0,0
22,male,32073,high school,1,swimming,4224,rural,71,208,fall,0,1,0
67,non-binary,38921,master,2,skiing,4659,urban,150,18,spring,0,0,0
58,male,114639,high school,8,swimming,536,urban,256,60,winter,1,1,0
47,non-binary,104533,doctorate,5,sunbathing,3434,urban,171,248,winter,1,0,0
65,male,96467,bachelor,7,swimming,1435,urban,258,122,spring,0,0,0
56,female,28612,bachelor,1,skiing,4980,rural,122,237,fall,0,1,1
44,male,22925,master,1,swimming,3936,urban,101,292,fall,1,0,0
59,male,90609,high school,1,swimming,1634,rural,202,90,fall,1,1,0
54,non-binary,50537,master,1,hiking,2178,suburban,64,221,summer,1,0,1
24,non-binary,36418,doctorate,5,hiking,3392,rural,252,161,summer,1,1,0
22,male,98845,doctorate,8,skiing,4473,urban,147,163,winter,0,1,1
32,non-binary,94166,high school,5,swimming,566,suburban,12,148,winter,0,0,0
68,female,97528,master,9,skiing,505,suburban,95,284,spring,0,1,1
59,female,60088,bachelor,7,sunbathing,1143,suburban,130,75,summer,0,0,0
25,female,55687,bachelor,3,hiking,3890,urban,184,93,spring,0,0,0
26,non-binary,65422,high school,7,sunbathing,3799,suburban,112,92,fall,1,0,0
28,non-binary,68642,doctorate,9,swimming,3189,urban,299,168,fall,1,0,0
39,male,93486,doctorate,4,hiking,2561,urban,71,124,spring,1,1,1
51,non-binary,25140,doctorate,8,skiing,4090,urban,262,150,summer,1,1,0
52,male,100441,high school,6,hiking,4471,urban,121,244,winter,0,0,1
30,non-binary,77312,master,8,skiing,4996,rural,271,55,fall,1,0,0
28,non-binary,33990,master,8,skiing,540,suburban,23,81,winter,1,0,1
49,male,57645,master,0,skiing,3881,rural,250,85,fall,1,1,0
59,female,39747,doctorate,3,skiing,745,suburban,222,283,spring,1,1,1
32,non-binary,105037,high school,1,hiking,3714,rural,217,128,spring,0,1,0
55,male,111368,high school,5,hiking,3032,rural,293,127,spring,1,1,0
18,non-binary,105641,bachelor,0,sunbathing,4010,suburban,114,283,spring,0,1,0
63,non-binary,84151,doctorate,8,sunbathing,1539,urban,116,172,fall,0,0,0
67,non-binary,84905,bachelor,3,skiing,1669,rural,120,290,fall,1,1,1
41,non-binary,66174,doctorate,0,skiing,729,urban,110,298,summer,0,1,1
60,non-binary,68998,master,1,hiking,3415,urban,191,93,fall,0,0,0
57,male,20494,master,8,sunbathing,3357,urban,12,55,winter,0,1,0
39,non-binary,117947,master,3,sunbathing,2303,urban,46,299,spring,0,1,0
20,male,42339,doctorate,5,hiking,1303,rural,151,184,summer,1,1,1
31,male,72977,doctorate,0,skiing,4183,urban,167,231,winter,0,0,1
19,female,33743,bachelor,8,sunbathing,3039,urban,103,218,summer,1,0,0
49,male,37639,master,7,skiing,3977,rural,157,112,winter,0,1,0
65,male,27567,bachelor,6,sunbathing,1816,urban,221,179,summer,0,1,0
55,female,30674,master,8,hiking,3514,urban,39,188,winter,0,1,1
50,non-binary,43881,high school,0,swimming,1891,suburban,24,232,spring,0,0,0
63,female,84954,bachelor,9,swimming,2492,suburban,269,3,winter,0,0,0
59,non-binary,86319,master,0,sunbathing,3600,suburban,165,122,summer,1,0,0
23,non-binary,63686,bachelor,0,swimming,2349,urban,31,35,winter,0,1,0
58,male,117092,master,4,swimming,4512,rural,20,118,spring,1,0,0
56,non-binary,71421,master,8,skiing,3004,suburban,10,213,fall,1,0,1
42,female,54823,bachelor,5,swimming,950,urban,73,64,spring,1,1,0
51,female,66172,doctorate,1,sunbathing,668,rural,213,276,winter,1,1,0
28,non-binary,24610,doctorate,9,sunbathing,3386,rural,123,262,winter,0,1,0
63,female,52588,master,3,swimming,3507,suburban,57,77,fall,1,1,0
54,female,74706,master,2,sunbathing,1012,rural,155,36,summer,0,1,0
58,male,90091,high school,1,swimming,4817,suburban,86,198,spring,0,0,0
24,male,39239,high school,9,skiing,2061,suburban,72,203,summer,1,1,1
63,male,95506,bachelor,3,sunbathing,3355,suburban,75,45,fall,1,1,0
65,non-binary,39205,master,5,sunbathing,4339,urban,8,268,summer,0,1,0
39,male,55430,master,3,sunbathing,1584,suburban,14,266,fall,0,1,0
65,female,43694,high school,4,swimming,2649,urban,270,199,winter,0,1,0
56,male,23757,master,7,skiing,3860,rural,241,246,spring,1,0,1
27,female,112078,master,3,skiing,3260,suburban,143,9,spring,1,1,0
38,male,74650,bachelor,5,skiing,1107,suburban,85,137,summer,0,0,1
23,female,89191,high school,9,skiing,2136,rural,295,280,fall,1,1,0
66,male,63111,high school,4,swimming,2901,urban,219,100,summer,1,1,0
18,male,109907,bachelor,5,skiing,551,urban,0,30,winter,0,0,1
51,male,24055,master,0,sunbathing,3173,urban,218,42,summer,1,0,0
31,male,89279,bachelor,4,sunbathing,765,urban,63,131,winter,1,1,0
53,female,115262,doctorate,1,swimming,673,suburban,233,297,fall,0,0,0
44,male,105157,bachelor,3,swimming,2300,urban,115,264,spring,0,0,0
26,non-binary,41302,high school,6,swimming,1170,suburban,292,154,winter,1,1,0
23,male,29090,master,3,swimming,3178,rural,151,31,winter,0,0,0
48,male,55247,doctorate,8,hiking,1208,urban,222,87,winter,1,0,0
34,non-binary,28930,doctorate,7,skiing,2627,suburban,133,33,summer,1,1,0
60,female,74668,high school,9,skiing,3226,rural,138,165,fall,1,1,1
53,non-binary,83994,bachelor,4,skiing,1618,rural,128,139,summer,1,0,1
38,female,78495,bachelor,1,sunbathing,2045,suburban,219,212,summer,0,1,0
44,non-binary,89881,doctorate,1,sunbathing,1186,urban,288,165,winter,1,1,0
58,non-binary,68537,bachelor,6,swimming,1397,rural,121,13,spring,0,0,0
45,non-binary,49323,bachelor,1,hiking,3409,suburban,131,129,fall,1,0,0
33,female,88347,master,1,swimming,550,rural,243,186,summer,1,0,0
52,male,80120,doctorate,2,sunbathing,4516,suburban,23,118,spring,1,1,0
53,male,105723,high school,0,hiking,1066,rural,125,32,winter,1,0,0
52,non-binary,75954,high school,0,skiing,2848,urban,29,146,fall,0,1,1
62,female,57320,bachelor,4,skiing,4276,urban,132,233,spring,1,1,1
36,female,98946,doctorate,6,skiing,2847,urban,117,259,spring,0,0,1
38,male,73676,doctorate,8,swimming,2940,urban,138,116,summer,1,0,0
50,female,81731,master,0,swimming,3349,rural,38,88,summer,1,0,0
40,female,51876,high school,2,skiing,3584,rural,42,49,summer,0,1,1
23,non-binary,79368,bachelor,0,swimming,4537,urban,113,105,winter,1,1,0
49,female,57969,doctorate,1,sunbathing,4047,urban,271,151,spring,0,0,0
39,female,75977,high school,0,swimming,3051,suburban,62,298,winter,0,0,0
20,non-binary,110487,master,1,skiing,2408,rural,9,279,winter,0,1,1
52,male,50002,master,7,sunbathing,2606,suburban,36,241,fall,0,0,0
33,male,117742,doctorate,1,swimming,2701,rural,49,84,fall,1,0,0
59,female,74488,bachelor,5,hiking,1782,urban,280,98,fall,1,1,0
42,non-binary,104881,bachelor,5,sunbathing,3805,urban,261,175,winter,0,1,0
34,male,20454,doctorate,3,swimming,3920,rural,275,210,winter,1,0,0
56,female,52983,high school,6,sunbathing,1093,suburban,156,274,fall,1,1,0
30,male,87618,doctorate,5,swimming,3522,urban,88,204,spring,1,1,0
45,female,106549,bachelor,0,swimming,4283,suburban,51,299,spring,1,0,0
28,male,88506,high school,6,swimming,4377,urban,164,256,summer,1,0,0
27,non-binary,70561,doctorate,0,hiking,3757,suburban,103,30,fall,1,1,0
56,non-binary,20714,high school,9,hiking,3341,urban,7,44,spring,1,1,1
41,male,101145,master,7,skiing,1667,suburban,167,67,winter,0,0,0
55,non-binary,34972,high school,7,skiing,4288,urban,161,215,winter,1,0,1
41,male,34958,master,7,sunbathing,4059,urban,198,13,fall,1,0,0
50,male,93316,high school,5,skiing,1490,suburban,75,30,summer,0,0,0
34,non-binary,85874,master,7,swimming,4943,rural,19,283,fall,1,1,0
61,female,30953,bachelor,0,sunbathing,3035,rural,79,135,winter,0,0,0
53,non-binary,58126,master,1,hiking,1719,suburban,173,186,summer,1,0,1
52,female,84478,bachelor,4,swimming,3021,suburban,276,241,winter,0,0,0
23,female,73056,doctorate,0,swimming,4010,suburban,79,179,winter,0,1,0
33,female,88937,doctorate,5,swimming,907,suburban,45,139,spring,0,0,0
62,male,35651,bachelor,3,skiing,1867,suburban,160,41,winter,1,1,0
45,female,37296,master,0,swimming,3390,rural,135,76,winter,0,0,0
58,female,113099,master,9,hiking,2475,rural,83,286,fall,0,0,1
49,non-binary,96714,bachelor,2,swimming,1672,suburban,179,216,winter,0,1,0
43,male,109330,master,2,hiking,1310,suburban,239,90,fall,1,1,0
28,male,35665,high school,4,hiking,3975,urban,295,36,winter,0,1,0
69,female,63797,high school,6,skiing,2286,urban,284,44,winter,0,1,0
42,non-binary,109521,master,9,sunbathing,3418,rural,193,137,winter,0,0,0
48,female,58468,high school,9,hiking,4033,urban,123,216,winter,0,0,1
38,male,58146,high school,2,sunbathing,862,urban,150,126,winter,0,0,0
62,non-binary,114800,bachelor,0,swimming,1333,rural,104,184,winter,1,0,0
68,male,63504,high school,5,hiking,2709,urban,7,248,fall,0,1,1
20,male,73557,doctorate,4,hiking,876,rural,139,214,fall,0,1,1
29,male,109267,master,1,hiking,1212,urban,6,279,winter,0,0,1
68,male,25141,doctorate,7,sunbathing,2841,rural,290,74,winter,1,0,0
57,male,70138,bachelor,5,hiking,2874,rural,48,254,fall,1,0,1
63,non-binary,94784,bachelor,3,swimming,1055,urban,265,256,summer,1,1,0
58,non-binary,67508,doctorate,8,skiing,2349,rural,45,19,fall,0,0,0
42,male,91808,bachelor,1,sunbathing,2318,urban,127,263,fall,1,0,0
34,female,94883,doctorate,2,skiing,4044,rural,55,293,winter,1,1,1
55,female,52424,doctorate,0,hiking,3303,rural,122,10,winter,0,0,0
53,male,101029,doctorate,6,sunbathing,3589,urban,177,207,summer,1,0,0
53,non-binary,96315,doctorate,1,skiing,2336,rural,211,73,fall,1,0,0
36,female,53227,bachelor,6,sunbathing,2653,suburban,284,50,summer,0,1,0
61,non-binary,25996,bachelor,8,swimming,2837,urban,183,38,winter,1,1,0
19,non-binary,57881,bachelor,7,skiing,2084,suburban,4,260,fall,0,1,1
34,female,92150,master,0,sunbathing,2342,urban,13,217,winter,0,0,0
47,female,42539,high school,9,sunbathing,2232,urban,240,182,fall,1,1,0
64,non-binary,33487,high school,5,sunbathing,643,suburban,190,272,spring,0,1,0
27,female,60121,doctorate,3,hiking,4968,rural,263,85,fall,1,1,0
52,male,73872,high school,4,sunbathing,2309,urban,61,61,spring,1,0,0
69,female,109900,doctorate,3,skiing,1364,rural,93,185,fall,1,1,1
53,non-binary,106304,bachelor,9,skiing,3970,rural,124,170,spring,0,1,1
50,non-binary,27316,doctorate,1,hiking,2642,urban,204,247,winter,1,1,1
18,non-binary,43414,master,9,hiking,4522,urban,192,215,summer,1,1,1
35,non-binary,48776,bachelor,1,swimming,1270,urban,247,91,summer,1,1,0
21,non-binary,86808,master,7,hiking,1040,suburban,174,232,winter,1,0,1
64,non-binary,47961,high school,4,skiing,4505,urban,214,272,fall,1,0,1
44,male,88583,high school,4,swimming,2154,suburban,166,41,spring,0,1,0
42,non-binary,109690,master,8,sunbathing,1485,urban,30,196,winter,1,1,0
45,non-binary,94801,bachelor,8,hiking,695,rural,106,164,spring,0,1,1
39,male,82815,bachelor,8,sunbathing,840,rural,22,219,summer,0,0,0
59,non-binary,26144,doctorate,2,swimming,949,rural,133,216,fall,0,0,0
42,non-binary,34879,high school,5,sunbathing,3112,urban,249,45,spring,0,0,0
34,male,74466,master,8,skiing,4951,rural,53,183,fall,1,0,1
61,female,113568,high school,8,sunbathing,2723,suburban,254,129,winter,0,1,0
69,female,104881,master,9,swimming,1455,suburban,260,87,fall,1,1,0
29,non-binary,39551,master,1,swimming,3617,urban,95,86,summer,1,1,0
33,female,30667,bachelor,7,hiking,4676,rural,32,196,winter,1,1,1
54,female,85744,doctorate,1,skiing,2763,urban,82,251,winter,1,1,1
33,male,63019,doctorate,6,sunbathing,2592,suburban,0,292,spring,1,0,0
34,female,117953,doctorate,8,skiing,3705,urban,22,263,fall,0,1,1
48,non-binary,118406,high school,7,skiing,4957,urban,262,198,winter,1,1,0
32,male,83553,doctorate,2,swimming,4093,rural,228,52,summer,0,1,0
30,female,60339,high school,5,hiking,3184,suburban,77,203,spring,0,1,1
57,non-binary,27123,master,9,skiing,1286,urban,282,30,fall,1,1,0
44,male,101326,bachelor,5,hiking,586,suburban,99,103,spring,0,0,1
38,non-binary,36694,high school,1,swimming,1542,urban,238,248,fall,0,0,0
19,female,71506,high school,6,skiing,2129,rural,18,184,summer,1,1,1
25,non-binary,31839,high school,7,skiing,4963,suburban,74,135,summer,1,0,1
59,female,28543,doctorate,5,hiking,2824,urban,271,219,fall,0,1,0
24,female,79481,high school,6,hiking,2232,urban,202,241,spring,0,1,1
27,female,89835,master,3,skiing,2070,suburban,46,219,winter,0,1,1
21,female,83106,high school,8,hiking,4502,rural,37,129,spring,0,1,1
60,female,94651,doctorate,1,hiking,1220,rural,102,65,spring,1,0,0
58,male,101096,high school,4,skiing,1505,suburban,282,92,winter,0,0,0
53,female,105893,doctorate,1,hiking,3100,rural,88,265,winter,1,0,1
52,male,54052,doctorate,4,sunbathing,4630,suburban,254,292,winter,1,1,0
60,non-binary,27368,master,8,hiking,2229,suburban,298,278,winter,0,0,0
20,non-binary,63958,bachelor,0,swimming,1619,suburban,268,141,fall,1,1,0
35,male,68621,high school,3,skiing,1063,rural,160,256,winter,0,1,1
68,male,98177,high school,9,hiking,553,rural,33,155,spring,0,1,1
63,non-binary,46618,master,5,hiking,580,suburban,77,222,spring,1,0,1
60,male,79646,doctorate,3,skiing,3527,rural,0,278,spring,0,0,1
41,male,56661,bachelor,3,hiking,4362,suburban,211,139,winter,1,1,0
49,female,46722,high school,0,swimming,3383,rural,298,89,summer,0,1,0
51,non-binary,101987,bachelor,0,hiking,936,suburban,41,129,spring,0,1,1
19,male,94618,high school,2,swimming,1745,rural,186,72,spring,1,0,0
19,male,63980,bachelor,9,swimming,1471,suburban,85,127,fall,1,1,0
27,male,29063,master,3,swimming,4051,urban,74,203,spring,0,1,0
40,female,78292,bachelor,6,skiing,4507,suburban,202,282,spring,1,0,1
32,non-binary,29748,master,6,swimming,1798,suburban,275,138,summer,1,1,0
29,non-binary,75249,doctorate,0,sunbathing,4218,suburban,225,71,spring,1,1,0
60,male,111731,bachelor,8,sunbathing,2234,urban,48,137,spring,0,0,0
34,male,36003,high school,1,hiking,2966,rural,183,274,summer,0,1,1
35,female,36479,master,9,sunbathing,2467,rural,136,77,winter,1,0,0
31,male,26810,bachelor,0,swimming,4916,suburban,193,290,summer,1,0,0
34,male,80760,doctorate,1,hiking,4475,rural,207,105,fall,1,1,0
32,female,110973,bachelor,9,hiking,4579,rural,202,226,winter,1,1,1
29,male,110454,high school,7,skiing,989,suburban,89,157,summer,1,0,1
33,non-binary,92732,doctorate,4,sunbathing,2270,rural,233,37,summer,0,1,0
49,non-binary,74392,doctorate,0,hiking,1589,urban,129,275,spring,0,1,1
40,non-binary,65752,doctorate,0,swimming,1438,urban,133,250,summer,1,0,0
55,female,95232,master,2,skiing,1467,suburban,111,93,winter,0,0,0
51,female,58481,bachelor,1,sunbathing,948,suburban,1,79,spring,0,0,0
51,non-binary,72506,master,5,swimming,3653,urban,65,285,winter,1,1,0
33,non-binary,81133,master,1,skiing,4856,urban,294,54,winter,0,0,0
51,female,32839,high school,9,sunbathing,2829,urban,273,29,winter,1,1,0
57,male,77065,high school,4,swimming,4470,suburban,274,152,winter,0,0,0
24,male,40092,bachelor,6,hiking,2244,suburban,77,153,fall,1,0,1
50,female,20962,bachelor,2,hiking,1214,urban,22,178,spring,0,1,1
21,non-binary,20162,doctorate,3,skiing,2767,urban,226,276,fall,0,1,1
60,female,34181,master,9,swimming,1704,urban,288,30,summer,0,0,0
69,non-binary,20330,doctorate,9,sunbathing,2073,rural,289,171,spring,1,0,0
24,female,118275,master,8,sunbathing,4087,suburban,292,293,fall,1,1,0
35,female,62739,doctorate,6,skiing,4316,suburban,162,56,summer,1,1,0
21,female,119311,high school,8,hiking,4187,suburban,281,198,summer,0,1,0
66,female,76426,doctorate,9,skiing,3083,urban,271,219,fall,1,0,0
28,female,63123,doctorate,1,swimming,1252,rural,186,176,spring,0,1,0
60,female,81281,master,6,hiking,1730,urban,272,36,spring,0,1,0
37,non-binary,30838,high school,0,hiking,3849,suburban,233,271,summer,0,1,1
28,non-binary,32996,master,1,hiking,2298,rural,59,78,fall,1,1,1
32,male,29124,master,4,skiing,1661,suburban,164,285,summer,0,1,1
63,female,110767,master,3,hiking,2896,suburban,277,259,fall,1,1,0
34,male,74541,bachelor,1,hiking,655,suburban,143,152,spring,0,1,1
51,male,56294,high school,6,hiking,1799,rural,27,15,summer,0,0,0
67,female,90260,high school,9,sunbathing,619,urban,178,141,spring,0,1,0
65,female,92800,high school,5,hiking,4015,rural,111,160,spring,0,1,1
29,male,62751,high school,7,skiing,4666,suburban,136,12,fall,0,0,0
59,male,63009,master,2,skiing,1508,suburban,126,141,spring,0,1,1
45,female,38605,doctorate,1,hiking,2341,suburban,262,266,spring,0,1,1
65,female,87588,high school,7,swimming,4070,suburban,133,135,summer,1,0,0
52,female,77900,high school,9,sunbathing,4500,rural,124,198,spring,1,0,0
25,non-binary,96518,doctorate,6,hiking,4265,urban,182,184,fall,0,0,1
44,male,29212,master,5,hiking,2076,suburban,112,212,winter,1,1,1
39,male,44379,doctorate,3,swimming,2705,suburban,224,136,summer,1,1,0
41,male,102574,high school,1,sunbathing,1077,urban,33,78,fall,0,1,0
19,non-binary,77723,high school,3,swimming,2402,rural,249,72,spring,0,1,0
48,male,77897,bachelor,2,swimming,2236,suburban,235,187,fall,1,1,0
39,female,38817,doctorate,2,skiing,1197,suburban,25,286,summer,0,0,1
18,non-binary,61431,high school,2,swimming,3925,suburban,291,163,summer,1,0,0
31,male,89276,high school,2,hiking,1814,urban,8,261,summer,0,0,1
42,non-binary,28796,doctorate,9,skiing,2959,suburban,214,281,fall,1,0,1
53,non-binary,102644,high school,9,hiking,4550,suburban,47,115,winter,1,0,1
